year,month,value
1897,6,-0.2
1897,7,-0.13
1897,8,-0.33
1897,9,-0.17
1897,10,-0.25
1897,11,-0.02
1897,12,-0.25
1898,1,-0.14
1898,2,-0.46
1898,3,-0.83
1898,4,-0.59
1898,5,-0.65
1898,6,-0.33
1898,7,-0.37
1898,8,-0.25
1898,9,-0.05
1898,10,-0.42
1898,11,-0.52
1898,12,-0.23
1899,1,-0.44
1899,2,-0.62
1899,3,-0.38
1899,4,-0.27
1899,5,-0.42
1899,6,-0.55
1899,7,-0.32
1899,8,-0.3
1899,9,-0.03
1899,10,-0.29
1899,11,-0.03
1899,12,-0.23
1900,1,-0.56
1900,2,-0.07
1900,3,-0.19
1900,4,-0.18
1900,5,-0.18
1900,6,-0.13
1900,7,-0.37
1900,8,-0.18
1900,9,-0.09
1900,10,0.13
1900,11,-0.14
1900,12,-0.08
1901,1,-0.21
1901,2,-0.12
1901,3,-0.11
1901,4,-0.08
1901,5,-0.2
1901,6,0.02
1901,7,-0.26
1901,8,-0.22
1901,9,0.03
1901,10,-0.18
1901,11,-0.13
1901,12,-0.21
1902,1,-0.3
1902,2,-0.04
1902,3,-0.18
1902,4,-0.21
1902,5,-0.32
1902,6,-0.35
1902,7,-0.44
1902,8,-0.52
1902,9,-0.41
1902,10,-0.45
1902,11,-0.49
1902,12,-0.56
1903,1,-0.35
1903,2,-0.15
1903,3,-0.17
1903,4,-0.56
1903,5,-0.46
1903,6,-0.64
1903,7,-0.32
1903,8,-0.43
1903,9,-0.41
1903,10,-0.48
1903,11,-0.47
1903,12,-0.61
1904,1,-0.79
1904,2,-0.76
1904,3,-0.56
1904,4,-0.44
1904,5,-0.64
1904,6,-0.5
1904,7,-0.62
1904,8,-0.51
1904,9,-0.45
1904,10,-0.54
1904,11,-0.27
1904,12,-0.43
1905,1,-0.43
1905,2,-0.98
1905,3,-0.24
1905,4,-0.33
1905,5,-0.35
1905,6,-0.32
1905,7,-0.44
1905,8,-0.28
1905,9,-0.23
1905,10,-0.38
1905,11,-0.09
1905,12,-0.26
1906,1,-0.17
1906,2,-0.33
1906,3,-0.33
1906,4,0.06
1906,5,-0.2
1906,6,-0.22
1906,7,-0.21
1906,8,-0.16
1906,9,-0.3
