year,month,value
1949,1,0.09
1949,2,-0.17
1949,3,-0.03
1949,4,-0.1
1949,5,-0.08
1949,6,-0.23
1949,7,-0.14
1949,8,-0.12
1949,9,-0.14
1949,10,-0.07
1949,11,-0.1
1949,12,-0.23
1950,1,-0.33
1950,2,-0.28
1950,3,-0.07
1950,4,-0.2
1950,5,-0.1
1950,6,-0.03
1950,7,-0.1
1950,8,-0.17
1950,9,-0.12
1950,10,-0.22
1950,11,-0.38
1950,12,-0.2
1951,1,-0.34
1951,2,-0.43
1951,3,-0.21
1951,4,-0.12
1951,5,0
1951,6,-0.02
1951,7,0.03
1951,8,0.06
1951,9,0.09
1951,10,0.06
1951,11,-0.01
1951,12,0.14
1952,1,0.13
1952,2,0.11
1952,3,-0.09
1952,4,0.02
1952,5,-0.02
1952,6,-0.03
1952,7,0.04
1952,8,0.05
1952,9,0.08
1952,10,0
1952,11,-0.14
1952,12,-0.01
1953,1,0.08
1953,2,0.15
1953,3,0.11
1953,4,0.18
1953,5,0.09
1953,6,0.1
1953,7,0
1953,8,0.06
1953,9,0.05
1953,10,0.07
1953,11,-0.05
1953,12,0.03
1954,1,-0.27
1954,2,-0.12
1954,3,-0.15
1954,4,-0.16
1954,5,-0.21
1954,6,-0.17
1954,7,-0.18
1954,8,-0.16
1954,9,-0.09
1954,10,-0.04
1954,11,0.06
1954,12,-0.21
1955,1,0.14
1955,2,-0.17
1955,3,-0.34
1955,4,-0.21
1955,5,-0.2
1955,6,-0.11
1955,7,-0.12
1955,8,0.01
1955,9,-0.11
1955,10,-0.05
1955,11,-0.24
1955,12,-0.3
1956,1,-0.16
1956,2,-0.26
1956,3,-0.23
1956,4,-0.27
1956,5,-0.31
1956,6,-0.16
1956,7,-0.12
1956,8,-0.26
1956,9,-0.2
1956,10,-0.24
1956,11,-0.17
1956,12,-0.07
1957,1,-0.11
1957,2,-0.04
1957,3,-0.06
1957,4,-0.01
1957,5,0.09
1957,6,0.17
1957,7,0.01
1957,8,0.15
1957,9,0.09
1957,10,0.02
1957,11,0.07
1957,12,0.16
1958,1,0.4
1958,2,0.24
1958,3,0.11
1958,4,0.03
1958,5,0.07
1958,6,-0.07
1958,7,0.05
1958,8,-0.03
1958,9,-0.02
1958,10,0.05
1958,11,0.02
1958,12,0.01
1959,1,0.08
1959,2,0.09
1959,3,0.18
1959,4,0.13
1959,5,0.04
1959,6,0.03
1959,7,0.06
1959,8,-0.01
1959,9,-0.06
1959,10,-0.09
1959,11,-0.09
1959,12,-0.01
1960,1,0
1960,2,0.16
1960,3,-0.34
1960,4,-0.14
1960,5,-0.07
1960,6,-0.04
1960,7,-0.03
1960,8,0.02
1960,9,0.07
1960,10,0.07
1960,11,-0.12
1960,12,0.18
1961,1,0.07
1961,2,0.19
1961,3,0.09
1961,4,0.12
1961,5,0.12
1961,6,0.11
1961,7,0
1961,8,0.03
1961,9,0.07
1961,10,0
1961,11,0.03
1961,12,-0.15
1962,1,0.07
1962,2,0.14
1962,3,0.12
1962,4,0.04
1962,5,-0.04
1962,6,0.05
1962,7,0.02
1962,8,-0.01
1962,9,0.01
1962,10,0
1962,11,0.07
1962,12,0
1963,1,-0.02
1963,2,0.2
1963,3,-0.14
1963,4,-0.06
1963,5,-0.04
1963,6,0.05
1963,7,0.09
1963,8,0.27
1963,9,0.2
1963,10,0.15
1963,11,0.15
1963,12,-0.01
1964,1,-0.08
1964,2,-0.13
1964,3,-0.23
1964,4,-0.31
1964,5,-0.24
1964,6,-0.02
1964,7,-0.03
1964,8,-0.21
1964,9,-0.29
1964,10,-0.31
1964,11,-0.21
1964,12,-0.3
1965,1,-0.08
1965,2,-0.17
1965,3,-0.11
1965,4,-0.19
1965,5,-0.14
1965,6,-0.09
1965,7,-0.12
1965,8,-0.03
1965,9,-0.16
1965,10,-0.05
1965,11,-0.06
1965,12,-0.06
1966,1,-0.17
1966,2,0
1966,3,0.05
1966,4,-0.13
1966,5,-0.11
1966,6,0.01
1966,7,0.09
1966,8,-0.08
1966,9,-0.02
1966,10,-0.15
1966,11,-0.02
1966,12,-0.05
1967,1,-0.06
1967,2,-0.21
1967,3,0.04
1967,4,-0.05
1967,5,0.14
1967,6,-0.08
1967,7,0.01
1967,8,0.01
1967,9,-0.06
1967,10,0.09
1967,11,-0.07
1967,12,-0.03
1968,1,-0.26
1968,2,-0.15
1968,3,0.21
1968,4,-0.05
1968,5,-0.13
1968,6,-0.07
1968,7,-0.12
1968,8,-0.09
1968,9,-0.18
1968,10,0.11
1968,11,-0.03
1968,12,-0.13
1969,1,-0.11
1969,2,-0.14
1969,3,0.01
1969,4,0.18
1969,5,0.19
1969,6,0.05
1969,7,-0.02
1969,8,0.03
1969,9,0.09
1969,10,0.13
1969,11,0.13
1969,12,0.28
1970,1,0.09
1970,2,0.22
1970,3,0.08
1970,4,0.09
1970,5,-0.04
1970,6,-0.02
1970,7,-0.02
1970,8,-0.09
1970,9,0.11
1970,10,0.06
1970,11,0.02
1970,12,-0.12
1971,1,-0.02
1971,2,-0.2
1971,3,-0.17
1971,4,-0.08
1971,5,-0.05
1971,6,-0.19
1971,7,-0.11
1971,8,-0.03
1971,9,-0.05
1971,10,-0.07
1971,11,-0.05
1971,12,-0.09
1972,1,-0.24
1972,2,-0.17
1972,3,0.02
1972,4,0
1972,5,-0.04
1972,6,0.05
1972,7,0
1972,8,0.17
1972,9,0.02
1972,10,0.09
1972,11,0.03
1972,12,0.19
1973,1,0.29
1973,2,0.3
1973,3,0.26
1973,4,0.26
1973,5,0.25
1973,6,0.17
1973,7,0.1
1973,8,0.03
1973,9,0.09
1973,10,0.14
1973,11,0.06
1973,12,-0.06
1974,1,-0.15
1974,2,-0.29
1974,3,-0.06
1974,4,-0.12
1974,5,-0.02
1974,6,-0.07
1974,7,-0.05
1974,8,0.1
1974,9,-0.12
1974,10,-0.08
1974,11,-0.07
1974,12,-0.09
1975,1,0.06
1975,2,0.06
1975,3,0.13
1975,4,0.04
1975,5,0.16
1975,6,0
1975,7,-0.01
1975,8,-0.19
1975,9,-0.03
1975,10,-0.1
1975,11,-0.16
1975,12,-0.17
1976,1,-0.02
1976,2,-0.06
1976,3,-0.21
1976,4,-0.09
1976,5,-0.24
1976,6,-0.16
1976,7,-0.1
1976,8,-0.15
1976,9,-0.09
1976,10,-0.27
1976,11,-0.04
1976,12,0.1
1977,1,0.19
1977,2,0.22
1977,3,0.24
1977,4,0.27
1977,5,0.29
1977,6,0.24
1977,7,0.2
1977,8,0.15
1977,9,0
1977,10,0.02
1977,11,0.17
1977,12,0.02
1978,1,0.06
1978,2,0.13
1978,3,0.21
1978,4,0.15
1978,5,0.06
1978,6,-0.02
1978,7,0.03
1978,8,-0.18
1978,9,0.05
1978,10,0
1978,11,0.15
1978,12,0.1
1979,1,0.12
1979,2,-0.11
1979,3,0.18
1979,4,0.12
1979,5,0.05
1979,6,0.13
1979,7,0.02
1979,8,0.13
1979,9,0.25
1979,10,0.24
1979,11,0.28
1979,12,0.47
1980,1,0.3
1980,2,0.42
1980,3,0.3
1980,4,0.33
1980,5,0.35
1980,6,0.17
1980,7,0.28
1980,8,0.23
1980,9,0.19
1980,10,0.17
1980,11,0.29
1980,12,0.19
1981,1,0.55
1981,2,0.41
1981,3,0.48
1981,4,0.31
1981,5,0.24
1981,6,0.31
1981,7,0.33
1981,8,0.32
1981,9,0.16
1981,10,0.13
1981,11,0.23
1981,12,0.42
1982,1,0.1
1982,2,0.15
1982,3,-0.01
1982,4,0.09
1982,5,0.15
1982,6,0.05
1982,7,0.12
1982,8,0.07
1982,9,0.14
1982,10,0.13
1982,11,0.15
1982,12,0.42
1983,1,0.52
1983,2,0.4
1983,3,0.42
1983,4,0.31
1983,5,0.36
1983,6,0.2
1983,7,0.17
1983,8,0.32
1983,9,0.39
1983,10,0.16
1983,11,0.32
1983,12,0.17
1984,1,0.29
1984,2,0.17
1984,3,0.29
1984,4,0.08
1984,5,0.33
1984,6,0.05
1984,7,0.17
1984,8,0.16
1984,9,0.21
1984,10,0.15
1984,11,0.06
1984,12,-0.05
1985,1,0.22
1985,2,-0.06
1985,3,0.17
1985,4,0.11
1985,5,0.16
1985,6,0.17
1985,7,-0.01
1985,8,0.15
1985,9,0.15
1985,10,0.11
1985,11,0.08
1985,12,0.15
1986,1,0.28
1986,2,0.38
1986,3,0.28
1986,4,0.24
1986,5,0.24
1986,6,0.1
1986,7,0.11
1986,8,0.11
1986,9,0
1986,10,0.13
1986,11,0.11
1986,12,0.16
1987,1,0.35
1987,2,0.45
1987,3,0.15
1987,4,0.22
1987,5,0.25
1987,6,0.36
1987,7,0.45
1987,8,0.28
1987,9,0.38
1987,10,0.31
1987,11,0.25
1987,12,0.47
1988,1,0.57
1988,2,0.43
1988,3,0.51
1988,4,0.45
1988,5,0.43
1988,6,0.42
1988,7,0.34
1988,8,0.46
1988,9,0.41
1988,10,0.39
1988,11,0.12
1988,12,0.33
1989,1,0.14
1989,2,0.34
1989,3,0.36
1989,4,0.33
1989,5,0.16
1989,6,0.14
1989,7,0.33
1989,8,0.37
1989,9,0.36
1989,10,0.31
1989,11,0.2
1989,12,0.38
1990,1,0.4
1990,2,0.41
1990,3,0.76
1990,4,0.55
1990,5,0.46
1990,6,0.38
1990,7,0.43
1990,8,0.3
1990,9,0.29
1990,10,0.41
1990,11,0.45
1990,12,0.4
1991,1,0.4
1991,2,0.49
1991,3,0.35
1991,4,0.52
1991,5,0.38
1991,6,0.53
1991,7,0.48
1991,8,0.39
1991,9,0.48
1991,10,0.3
1991,11,0.31
1991,12,0.32
1992,1,0.44
1992,2,0.42
1992,3,0.47
1992,4,0.24
1992,5,0.32
1992,6,0.25
1992,7,0.12
1992,8,0.07
1992,9,0
1992,10,0.09
1992,11,0.03
1992,12,0.21
1993,1,0.37
1993,2,0.39
1993,3,0.36
1993,4,0.27
1993,5,0.27
1993,6,0.25
1993,7,0.28
1993,8,0.13
1993,9,0.1
1993,10,0.22
1993,11,0.06
1993,12,0.17
1994,1,0.27
1994,2,0.02
1994,3,0.27
1994,4,0.41
1994,5,0.28
1994,6,0.43
1994,7,0.31
1994,8,0.21
1994,9,0.3
1994,10,0.41
1994,11,0.46
1994,12,0.36
1995,1,0.5
1995,2,0.78
1995,3,0.45
1995,4,0.47
1995,5,0.26
1995,6,0.41
1995,7,0.47
1995,8,0.46
1995,9,0.32
1995,10,0.47
1995,11,0.45
1995,12,0.28
1996,1,0.25
1996,2,0.48
1996,3,0.32
1996,4,0.36
1996,5,0.27
1996,6,0.25
1996,7,0.36
1996,8,0.48
1996,9,0.25
1996,10,0.19
1996,11,0.41
1996,12,0.4
1997,1,0.31
1997,2,0.37
1997,3,0.53
1997,4,0.36
1997,5,0.36
1997,6,0.54
1997,7,0.35
1997,8,0.41
1997,9,0.53
1997,10,0.62
1997,11,0.64
1997,12,0.59
1998,1,0.6
1998,2,0.9
1998,3,0.63
1998,4,0.63
1998,5,0.69
1998,6,0.77
1998,7,0.68
1998,8,0.66
1998,9,0.41
1998,10,0.44
1998,11,0.49
1998,12,0.56
1999,1,0.47
1999,2,0.65
1999,3,0.34
1999,4,0.33
1999,5,0.31
1999,6,0.36
1999,7,0.37
1999,8,0.31
1999,9,0.4
1999,10,0.39
1999,11,0.38
1999,12,0.43
2000,1,0.24
2000,2,0.56
2000,3,0.58
2000,4,0.57
2000,5,0.36
2000,6,0.41
2000,7,0.39
2000,8,0.42
2000,9,0.4
2000,10,0.28
2000,11,0.32
2000,12,0.29
2001,1,0.42
2001,2,0.44
2001,3,0.56
2001,4,0.51
2001,5,0.57
